size	colour	x	xend	y	yend	key	showSelected2	showSelected4	PANEL
3	#00BFFF	0.5	5.5	9.93303050768666	9.93303050768666	1 5	0	OPART	1
3	#00BFFF	0.5	1.5	9.10308545337502	9.10308545337502	1 1	1	OPART	1
3	#00BFFF	1.5	5.5	10.1405167712646	10.1405167712646	2 5	1	OPART	1
3	#00BFFF	0.5	2.5	9.64396731901088	9.64396731901088	1 2	2	OPART	1
3	#00BFFF	2.5	5.5	10.1257393001372	10.1257393001372	3 5	2	OPART	1
3	#00BFFF	0.5	3.5	10.2919266564102	10.2919266564102	1 3	3	OPART	1
3	#00BFFF	3.5	5.5	9.39468628460136	9.39468628460136	4 5	3	OPART	1
3	#00BFFF	0.5	4.5	9.93635107374607	9.93635107374607	1 4	4	OPART	1
3	#00BFFF	4.5	5.5	9.91974824344901	9.91974824344901	5 5	4	OPART	1
