size	colour	x	xend	y	yend	key	showSelected2	showSelected4	PANEL
3	#00BFFF	0.5	77.5	8.27205872313251	8.27205872313251	1 77	0	OPART	1
3	#00BFFF	0.5	1.5	9.10308545337502	9.10308545337502	1 1	1	OPART	1
3	#00BFFF	1.5	77.5	8.26112416089248	8.26112416089248	2 77	1	OPART	1
3	#00BFFF	0.5	2.5	9.64396731901088	9.64396731901088	1 2	2	OPART	1
3	#00BFFF	2.5	77.5	8.23547449390909	8.23547449390909	3 77	2	OPART	1
3	#00BFFF	0.5	3.5	10.2919266564102	10.2919266564102	1 3	3	OPART	1
3	#00BFFF	3.5	77.5	8.19017218529693	8.19017218529693	4 77	3	OPART	1
3	#00BFFF	0.5	4.5	9.93635107374607	9.93635107374607	1 4	4	OPART	1
3	#00BFFF	4.5	77.5	8.18086462172903	8.18086462172903	5 77	4	OPART	1
3	#00BFFF	0.5	5.5	9.93303050768666	9.93303050768666	1 5	5	OPART	1
3	#00BFFF	5.5	77.5	8.15671346031625	8.15671346031625	6 77	5	OPART	1
3	#00BFFF	0.5	6.5	9.96626213713573	9.96626213713573	1 6	6	OPART	1
3	#00BFFF	6.5	77.5	8.12888660363928	8.12888660363928	7 77	6	OPART	1
3	#00BFFF	0.5	7.5	10.0722182217266	10.0722182217266	1 7	7	OPART	1
3	#00BFFF	7.5	77.5	8.09204277327311	8.09204277327311	8 77	7	OPART	1
3	#00BFFF	0.5	8.5	10.0332286909893	10.0332286909893	1 8	8	OPART	1
3	#00BFFF	8.5	77.5	8.06786510367086	8.06786510367086	9 77	8	OPART	1
3	#00BFFF	0.5	9.5	10.2500337182852	10.2500337182852	1 9	9	OPART	1
3	#00BFFF	9.5	77.5	8.01026791495053	8.01026791495053	10 77	9	OPART	1
3	#00BFFF	0.5	10.5	10.2111516452448	10.2111516452448	1 10	10	OPART	1
3	#00BFFF	10.5	77.5	7.98264186908591	7.98264186908591	11 77	10	OPART	1
3	#00BFFF	0.5	11.5	10.2299242912036	10.2299242912036	1 11	11	OPART	1
3	#00BFFF	11.5	77.5	7.94574779512066	7.94574779512066	12 77	11	OPART	1
3	#00BFFF	0.5	12.5	10.2925766650586	10.2925766650586	1 12	12	OPART	1
3	#00BFFF	12.5	77.5	7.89904002616154	7.89904002616154	13 77	12	OPART	1
3	#00BFFF	0.5	13.5	10.2398634327077	10.2398634327077	1 13	13	OPART	1
3	#00BFFF	13.5	77.5	7.87234839150006	7.87234839150006	14 77	13	OPART	1
3	#00BFFF	0.5	14.5	10.1484682605894	10.1484682605894	1 14	14	OPART	1
3	#00BFFF	14.5	77.5	7.85507882591988	7.85507882591988	15 77	14	OPART	1
3	#00BFFF	0.5	15.5	10.2573856405706	10.2573856405706	1 15	15	OPART	1
3	#00BFFF	15.5	77.5	7.79173769472006	7.79173769472006	16 77	15	OPART	1
3	#00BFFF	0.5	16.5	10.0968572202472	10.0968572202472	1 16	16	OPART	1
3	#00BFFF	16.5	77.5	7.79342305175818	7.79342305175818	17 77	16	OPART	1
3	#00BFFF	0.5	17.5	10.1428423591103	10.1428423591103	1 17	17	OPART	1
3	#00BFFF	17.5	77.5	7.74200335960546	7.74200335960546	18 77	17	OPART	1
3	#00BFFF	0.5	18.5	10.1368959346051	10.1368959346051	1 18	18	OPART	1
3	#00BFFF	18.5	77.5	7.70312533658157	7.70312533658157	19 77	18	OPART	1
3	#00BFFF	0.5	19.5	10.1829976586852	10.1829976586852	1 19	19	OPART	1
3	#00BFFF	19.5	77.5	7.64606148562389	7.64606148562389	20 77	19	OPART	1
3	#00BFFF	0.5	20.5	10.1954610334779	10.1954610334779	1 20	20	OPART	1
3	#00BFFF	20.5	77.5	7.59718071950256	7.59718071950256	21 77	20	OPART	1
3	#00BFFF	0.5	21.5	10.2857161845146	10.2857161845146	1 21	21	OPART	1
3	#00BFFF	21.5	77.5	7.51693717511423	7.51693717511423	22 77	21	OPART	1
3	#00BFFF	0.5	22.5	10.2181870025074	10.2181870025074	1 22	22	OPART	1
3	#00BFFF	22.5	77.5	7.49360741138256	7.49360741138256	23 77	22	OPART	1
3	#00BFFF	0.5	23.5	10.2778153154545	10.2778153154545	1 23	23	OPART	1
3	#00BFFF	23.5	77.5	7.41775498936575	7.41775498936575	24 77	23	OPART	1
3	#00BFFF	0.5	24.5	10.3476834957365	10.3476834957365	1 24	24	OPART	1
3	#00BFFF	24.5	77.5	7.33215316572693	7.33215316572693	25 77	24	OPART	1
3	#00BFFF	0.5	25.5	10.3339736669802	10.3339736669802	1 25	25	OPART	1
3	#00BFFF	25.5	77.5	7.28075346166729	7.28075346166729	26 77	25	OPART	1
3	#00BFFF	0.5	26.5	10.1114475110253	10.1114475110253	1 26	26	OPART	1
3	#00BFFF	26.5	77.5	7.3343311057754	7.3343311057754	27 77	26	OPART	1
3	#00BFFF	0.5	27.5	10.013884169973	10.013884169973	1 27	27	OPART	1
3	#00BFFF	27.5	77.5	7.33147298183863	7.33147298183863	28 77	27	OPART	1
3	#00BFFF	0.5	28.5	9.88493980073716	9.88493980073716	1 28	28	OPART	1
3	#00BFFF	28.5	77.5	7.35041239307272	7.35041239307272	29 77	28	OPART	1
3	#00BFFF	0.5	29.5	9.81277647210138	9.81277647210138	1 29	29	OPART	1
3	#00BFFF	29.5	77.5	7.34120841646382	7.34120841646382	30 77	29	OPART	1
3	#00BFFF	0.5	30.5	9.72867181337058	9.72867181337058	1 30	30	OPART	1
3	#00BFFF	30.5	77.5	7.34230568681034	7.34230568681034	31 77	30	OPART	1
3	#00BFFF	0.5	31.5	9.66448687112514	9.66448687112514	1 31	31	OPART	1
3	#00BFFF	31.5	77.5	7.333683232094	7.333683232094	32 77	31	OPART	1
3	#00BFFF	0.5	32.5	9.59118916893678	9.59118916893678	1 32	32	OPART	1
3	#00BFFF	32.5	77.5	7.33401040611614	7.33401040611614	33 77	32	OPART	1
3	#00BFFF	0.5	33.5	9.54527932605421	9.54527932605421	1 33	33	OPART	1
3	#00BFFF	33.5	77.5	7.31714327094124	7.31714327094124	34 77	33	OPART	1
3	#00BFFF	0.5	34.5	9.4620605893912	9.4620605893912	1 34	34	OPART	1
3	#00BFFF	34.5	77.5	7.33112701492797	7.33112701492797	35 77	34	OPART	1
3	#00BFFF	0.5	35.5	9.36952527900917	9.36952527900917	1 35	35	OPART	1
3	#00BFFF	35.5	77.5	7.35750325990196	7.35750325990196	36 77	35	OPART	1
3	#00BFFF	0.5	36.5	9.28715900740637	9.28715900740637	1 36	36	OPART	1
3	#00BFFF	36.5	77.5	7.38075115645303	7.38075115645303	37 77	36	OPART	1
3	#00BFFF	0.5	25.5	10.3339736669802	10.3339736669802	1 25	37	OPART	1
3	#00BFFF	25.5	37.5	6.77186690108158	6.77186690108158	26 37	37	OPART	1
3	#00BFFF	37.5	77.5	7.433419429843	7.433419429843	38 77	37	OPART	1
3	#00BFFF	0.5	25.5	10.3339736669802	10.3339736669802	1 25	38	OPART	1
3	#00BFFF	25.5	38.5	6.71998602563195	6.71998602563195	26 38	38	OPART	1
3	#00BFFF	38.5	77.5	7.46767594034574	7.46767594034574	39 77	38	OPART	1
3	#00BFFF	0.5	25.5	10.3339736669802	10.3339736669802	1 25	39	OPART	1
3	#00BFFF	25.5	39.5	6.70005402987963	6.70005402987963	26 39	39	OPART	1
3	#00BFFF	39.5	77.5	7.49469535758906	7.49469535758906	40 77	39	OPART	1
3	#00BFFF	0.5	25.5	10.3339736669802	10.3339736669802	1 25	40	OPART	1
3	#00BFFF	25.5	40.5	6.70361625673209	6.70361625673209	26 40	40	OPART	1
3	#00BFFF	40.5	77.5	7.51472800420859	7.51472800420859	41 77	40	OPART	1
3	#00BFFF	0.5	25.5	10.3339736669802	10.3339736669802	1 25	41	OPART	1
3	#00BFFF	25.5	41.5	6.69816610140937	6.69816610140937	26 41	41	OPART	1
3	#00BFFF	41.5	77.5	7.53968117733748	7.53968117733748	42 77	41	OPART	1
