colour	x	y	key	showSelected1	showSelected2	showSelected3	PANEL	fill
#00BFFF	86.5	0	1	0.1	87	OPART	2	#00BFFF
#00BFFF	86.5	0	1	0.1	88	OPART	2	#00BFFF
#00BFFF	86.5	0	1	0.1	89	OPART	2	#00BFFF
#00BFFF	89.5	0	1	0.1	90	OPART	2	#00BFFF
#00BFFF	90.5	0	1	0.1	91	OPART	2	#00BFFF
#00BFFF	90.5	0	1	0.1	92	OPART	2	#00BFFF
#00BFFF	92.5	0	1	0.1	93	OPART	2	#00BFFF
#00BFFF	92.5	0	1	0.1	94	OPART	2	#00BFFF
#00BFFF	92.5	0	1	0.1	95	OPART	2	#00BFFF
#00BFFF	92.5	0	1	0.1	96	OPART	2	#00BFFF
#00BFFF	96.5	0	1	0.1	97	OPART	2	#00BFFF
#00BFFF	97.5	0	1	0.1	98	OPART	2	#00BFFF
#00BFFF	98.5	0	1	0.1	99	OPART	2	#00BFFF
#00BFFF	98.5	0	1	0.1	100	OPART	2	#00BFFF
#00BFFF	0.5	0	1	1	1	OPART	2	#00BFFF
#00BFFF	0.5	0	1	1	2	OPART	2	#00BFFF
#00BFFF	2.5	0	1	1	3	OPART	2	#00BFFF
#00BFFF	3.5	0	1	1	4	OPART	2	#00BFFF
#00BFFF	3.5	0	1	1	5	OPART	2	#00BFFF
#00BFFF	3.5	0	1	1	6	OPART	2	#00BFFF
#00BFFF	4.5	0	1	1	7	OPART	2	#00BFFF
#00BFFF	4.5	0	1	1	8	OPART	2	#00BFFF
#00BFFF	8.5	0	1	1	9	OPART	2	#00BFFF
#00BFFF	9.5	0	1	1	10	OPART	2	#00BFFF
#00BFFF	9.5	0	1	1	11	OPART	2	#00BFFF
#00BFFF	9.5	0	1	1	12	OPART	2	#00BFFF
#00BFFF	9.5	0	1	1	13	OPART	2	#00BFFF
#00BFFF	12.5	0	1	1	14	OPART	2	#00BFFF
#00BFFF	14.5	0	1	1	15	OPART	2	#00BFFF
#00BFFF	15.5	0	1	1	16	OPART	2	#00BFFF
#00BFFF	16.5	0	1	1	17	OPART	2	#00BFFF
#00BFFF	16.5	0	1	1	18	OPART	2	#00BFFF
#00BFFF	16.5	0	1	1	19	OPART	2	#00BFFF
#00BFFF	16.5	0	1	1	20	OPART	2	#00BFFF
#00BFFF	20.5	0	1	1	21	OPART	2	#00BFFF
#00BFFF	21.5	0	1	1	22	OPART	2	#00BFFF
#00BFFF	22.5	0	1	1	23	OPART	2	#00BFFF
#00BFFF	22.5	0	1	1	24	OPART	2	#00BFFF
#00BFFF	24.5	0	1	1	25	OPART	2	#00BFFF
#00BFFF	25.5	0	1	1	26	OPART	2	#00BFFF
#00BFFF	26.5	0	1	1	27	OPART	2	#00BFFF
#00BFFF	26.5	0	1	1	28	OPART	2	#00BFFF
#00BFFF	26.5	0	1	1	29	OPART	2	#00BFFF
#00BFFF	26.5	0	1	1	30	OPART	2	#00BFFF
#00BFFF	26.5	0	1	1	31	OPART	2	#00BFFF
#00BFFF	26.5	0	1	1	32	OPART	2	#00BFFF
#00BFFF	26.5	0	1	1	33	OPART	2	#00BFFF
#00BFFF	26.5	0	1	1	34	OPART	2	#00BFFF
#00BFFF	33.5	0	1	1	35	OPART	2	#00BFFF
#00BFFF	33.5	0	1	1	36	OPART	2	#00BFFF
#00BFFF	36.5	0	1	1	37	OPART	2	#00BFFF
#00BFFF	33.5	0	1	1	38	OPART	2	#00BFFF
#00BFFF	33.5	0	1	1	39	OPART	2	#00BFFF
#00BFFF	33.5	0	1	1	40	OPART	2	#00BFFF
#00BFFF	33.5	0	1	1	41	OPART	2	#00BFFF
#00BFFF	41.5	0	1	1	42	OPART	2	#00BFFF
#00BFFF	33.5	0	1	1	43	OPART	2	#00BFFF
#00BFFF	43.5	0	1	1	44	OPART	2	#00BFFF
#00BFFF	43.5	0	1	1	45	OPART	2	#00BFFF
#00BFFF	43.5	0	1	1	46	OPART	2	#00BFFF
#00BFFF	46.5	0	1	1	47	OPART	2	#00BFFF
#00BFFF	46.5	0	1	1	48	OPART	2	#00BFFF
#00BFFF	46.5	0	1	1	49	OPART	2	#00BFFF
#00BFFF	46.5	0	1	1	50	OPART	2	#00BFFF
#00BFFF	46.5	0	1	1	51	OPART	2	#00BFFF
#00BFFF	51.5	0	1	1	52	OPART	2	#00BFFF
#00BFFF	52.5	0	1	1	53	OPART	2	#00BFFF
#00BFFF	53.5	0	1	1	54	OPART	2	#00BFFF
#00BFFF	54.5	0	1	1	55	OPART	2	#00BFFF
#00BFFF	54.5	0	1	1	56	OPART	2	#00BFFF
#00BFFF	54.5	0	1	1	57	OPART	2	#00BFFF
#00BFFF	56.5	0	1	1	58	OPART	2	#00BFFF
#00BFFF	57.5	0	1	1	59	OPART	2	#00BFFF
#00BFFF	57.5	0	1	1	60	OPART	2	#00BFFF
#00BFFF	60.5	0	1	1	61	OPART	2	#00BFFF
#00BFFF	61.5	0	1	1	62	OPART	2	#00BFFF
#00BFFF	62.5	0	1	1	63	OPART	2	#00BFFF
#00BFFF	62.5	0	1	1	64	OPART	2	#00BFFF
#00BFFF	62.5	0	1	1	65	OPART	2	#00BFFF
#00BFFF	62.5	0	1	1	66	OPART	2	#00BFFF
#00BFFF	66.5	0	1	1	67	OPART	2	#00BFFF
#00BFFF	65.5	0	1	1	68	OPART	2	#00BFFF
#00BFFF	67.5	0	1	1	69	OPART	2	#00BFFF
#00BFFF	67.5	0	1	1	70	OPART	2	#00BFFF
#00BFFF	67.5	0	1	1	71	OPART	2	#00BFFF
#00BFFF	67.5	0	1	1	72	OPART	2	#00BFFF
#00BFFF	67.5	0	1	1	73	OPART	2	#00BFFF
#00BFFF	67.5	0	1	1	74	OPART	2	#00BFFF
#00BFFF	67.5	0	1	1	75	OPART	2	#00BFFF
#00BFFF	75.5	0	1	1	76	OPART	2	#00BFFF
#00BFFF	76.5	0	1	1	77	OPART	2	#00BFFF
#00BFFF	76.5	0	1	1	78	OPART	2	#00BFFF
#00BFFF	76.5	0	1	1	79	OPART	2	#00BFFF
#00BFFF	79.5	0	1	1	80	OPART	2	#00BFFF
#00BFFF	80.5	0	1	1	81	OPART	2	#00BFFF
#00BFFF	81.5	0	1	1	82	OPART	2	#00BFFF
#00BFFF	81.5	0	1	1	83	OPART	2	#00BFFF
#00BFFF	81.5	0	1	1	84	OPART	2	#00BFFF
#00BFFF	81.5	0	1	1	85	OPART	2	#00BFFF
#00BFFF	85.5	0	1	1	86	OPART	2	#00BFFF
#00BFFF	86.5	0	1	1	87	OPART	2	#00BFFF
#00BFFF	86.5	0	1	1	88	OPART	2	#00BFFF
#00BFFF	86.5	0	1	1	89	OPART	2	#00BFFF
#00BFFF	86.5	0	1	1	90	OPART	2	#00BFFF
#00BFFF	90.5	0	1	1	91	OPART	2	#00BFFF
#00BFFF	90.5	0	1	1	92	OPART	2	#00BFFF
#00BFFF	92.5	0	1	1	93	OPART	2	#00BFFF
#00BFFF	92.5	0	1	1	94	OPART	2	#00BFFF
#00BFFF	92.5	0	1	1	95	OPART	2	#00BFFF
#00BFFF	92.5	0	1	1	96	OPART	2	#00BFFF
#00BFFF	96.5	0	1	1	97	OPART	2	#00BFFF
#00BFFF	97.5	0	1	1	98	OPART	2	#00BFFF
#00BFFF	97.5	0	1	1	99	OPART	2	#00BFFF
#00BFFF	97.5	0	1	1	100	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	1	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	2	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	3	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	4	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	5	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	6	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	7	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	8	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	9	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	10	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	11	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	12	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	13	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	14	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	15	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	16	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	17	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	18	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	19	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	20	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	21	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	22	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	23	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	24	OPART	2	#00BFFF
#00BFFF	0.5	0	1	10	25	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	26	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	27	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	28	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	29	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	30	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	31	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	32	OPART	2	#00BFFF
#00BFFF	25.5	0	1	10	33	OPART	2	#00BFFF
